Ticker,Sector
ISP.MI,Financial Services
ITD.MI,Communication Services
ITM.MI,Consumer Defensive
ITW.MI,Technology
IVS.MI,Consumer Defensive
IWB.MI,Consumer Defensive
JUVE.MI,Consumer Cyclical
KER.MI,Consumer Cyclical
KI.MI,Consumer Defensive
KIP.MI,Healthcare
LCC.MI,Financial Services
LD.MI,Consumer Defensive
LDO.MI,Industrials
LFG.MI,Communication Services
LHA.MI,Industrials
LIT.MI,Communication Services
LMG.MI,Communication Services
LON.MI,Consumer Defensive
LR.MI,Consumer Cyclical
LUVE.MI,Industrials
LVEN.MI,Financial Services
LVMH.MI,Consumer Cyclical
MAIL.MI,Technology
MAPS.MI,Technology
MARP.MI,Industrials
MARR.MI,Consumer Defensive
MASI.MI,Consumer Defensive
MB.MI,Financial Services
MFT.MI,Technology
MIT.MI,Financial Services
MLM.MI,Healthcare
MN.MI,Communication Services
MNL.MI,Consumer Cyclical
MOL.MI,Financial Services
MOLD.MI,Consumer Cyclical
MON.MI,Communication Services
MONC.MI,Consumer Cyclical
MRK.MI,Healthcare
MS.MI,Communication Services
MSU.MI,Communication Services
MT.MI,Industrials
MTF.MI,Communication Services
MTV.MI,Communication Services
MU.MI,Technology
MUV2.MI,Financial Services
MZB.MI,Consumer Defensive
NDT.MI,Basic Materials
NET.MI,Financial Services
NEXI.MI,Technology
NFLX.MI,Communication Services
NOKIA.MI,Technology
NPI.MI,Communication Services
NR.MI,Real Estate
NRST.MI,Technology
NSP.MI,Technology
NTW.MI,Communication Services
NVP.MI,Communication Services
NWL.MI,Consumer Defensive
OJM.MI,Industrials
OR.MI,Consumer Defensive
ORA.MI,Communication Services
ORS.MI,Consumer Defensive
OS.MI,Industrials
OVS.MI,Consumer Cyclical
PAN.MI,Basic Materials
PHIA.MI,Healthcare
PHN.MI,Healthcare
PIA.MI,Consumer Cyclical
PINF.MI,Consumer Cyclical
PIRC.MI,Consumer Cyclical
PITE.MI,Technology
PLC.MI,Industrials
POL.MI,Communication Services
POPR.MI,Communication Services
POR.MI,Consumer Cyclical
PQ.MI,Consumer Cyclical
PRI.MI,Industrials
PRL.MI,Healthcare
PRM.MI,Communication Services
PRO.MI,Financial Services
PRT.MI,Technology
PRY.MI,Industrials
PSA.MI,Consumer Cyclical
PSF.MI,Industrials
PSM.MI,Communication Services
PST.MI,Industrials
PTR.MI,Consumer Cyclical
PVN.MI,Industrials
PWS.MI,Technology
RACE.MI,Consumer Cyclical
RAD.MI,Consumer Cyclical
RAT.MI,Consumer Cyclical
RCS.MI,Communication Services
REC.MI,Healthcare
REN.MI,Industrials
REY.MI,Technology
RLT.MI,Technology
RM.MI,Basic Materials
RN.MI,Real Estate
RNO.MI,Consumer Cyclical
ROS.MI,Industrials
RST.MI,Real Estate
RWAY.MI,Communication Services
RWE.MI,Utilities
S24.MI,Communication Services
SAB.MI,Industrials
SAF.MI,Industrials
SAL.MI,Industrials
SALR.MI,Industrials
SANF.MI,Healthcare
SANT.MI,Financial Services
SAP.MI,Technology
SBUX.MI,Consumer Cyclical
SCF.MI,Industrials
SCK.MI,Industrials
SCM.MI,Financial Services
SDF.MI,Basic Materials
SEIF.MI,Communication Services
SERI.MI,Utilities
SES.MI,Technology
SFER.MI,Consumer Cyclical
SFL.MI,Healthcare
SG.MI,Technology
SGC.MI,Industrials
SGO.MI,Industrials
SGR.MI,Technology
SHE.MI,Healthcare
SICT.MI,Basic Materials
SIE.MI,Industrials
SIO.MI,Industrials
SIT.MI,Industrials
SITI.MI,Industrials
SL.MI,Consumer Cyclical
SO.MI,Consumer Cyclical
SOL.MI,Basic Materials
SOM.MI,Industrials
SOS.MI,Consumer Cyclical
SPM.MI,Energy
SPMR.MI,Energy
SPTV.MI,Financial Services
SRG.MI,Utilities
SRI.MI,Industrials
SRS.MI,Energy
SSL.MI,Consumer Cyclical
STEF.MI,Consumer Cyclical
STM.MI,Technology
TAS.MI,Technology
TB.MI,Communication Services
TEF.MI,Communication Services
TEN.MI,Energy
TES.MI,Industrials
TFI.MI,Industrials
TGYM.MI,Consumer Cyclical
TIP.MI,Financial Services
TIS.MI,Communication Services
TIT.MI,Communication Services
TITR.MI,Communication Services
TLS.MI,Communication Services
TNXT.MI,Technology
TOD.MI,Consumer Cyclical
TOT.MI,Energy
TPS.MI,Industrials
TRIP.MI,Consumer Cyclical
TRN.MI,Utilities
TSLA.MI,Consumer Cyclical
TSPA.MI,Financial Services
TTT.MI,Financial Services
TWL.MI,Industrials
TXT.MI,Technology
TYA.MI,Industrials
U24.MI,Financial Services
UBI.MI,Financial Services
UCG.MI,Financial Services
UNA.MI,Consumer Goods
UNI.MI,Financial Services
UNIR.MI,Consumer Cyclical
URW.MI,Real Estate
US.MI,Financial Services
VE.MI,Industrials
VIA.MI,Real Estate
VIM.MI,Industrials
VIV.MI,Communication Services
VLS.MI,Consumer Defensive
VNA.MI,Real Estate
VOW3.MI,Consumer Cyclical
VTY.MI,Communication Services
WEB.MI,Communication Services
WIIT.MI,Technology
WMC.MI,Industrials
XPR.MI,Technology
YIV.MI,Real Estate
YRM.MI,Industrials
YSFT.MI,Technology
ZUC.MI,Consumer Cyclical
ZV.MI,Consumer Cyclical
