,X.MI,Y.MI,Z.MI,A.MI,C.MI,E.MI,D.MI,G.MI,I.MI,M.MI,P.MI,R.MI,S.MI,T.MI,U.MI
2019-01-23,-0.00131,0.08642,-0.00377,-0.00356,0.01527,-0.00776,-0.01111,0.00424,0.00615,0.00076,0.00926,-0.01618,0.00203,0.00537,0.01639
2019-01-24,0.00808,-0.00218,0.00939,0.01183,0.02985,0.00892,0.00696,-0.00195,-0.00541,0.00178,0.00237,0.02246,-0.00203,0.00999,0.00772
2019-01-25,0.00995,0.05315,0.00093,0.03011,0.0,0.00231,0.01076,0.00682,0.01784,0.01033,0.00993,-0.01076,0.0198,0.01577,0.03158
2019-01-28,-0.00984,-0.02728,-0.0075,-0.00744,0.00367,-0.00541,-0.00965,-0.00129,-0.00925,-0.01262,-0.0013,-0.02355,-0.01575,-0.00239,-0.02578
2019-01-29,0.00758,-0.02151,0.00936,-0.00345,-0.01105,0.01499,0.00622,0.00065,0.00147,-0.00765,-0.00313,0.00417,0.00144,-0.00174,-0.01239
2019-01-30,-0.00432,-0.01313,0.0,-0.0054,-0.01869,-0.00153,0.00837,0.00065,0.00608,0.00204,0.00157,0.01774,0.01516,0.01042,-0.00777
2019-01-31,-0.00391,0.02394,-0.00748,-0.00271,-0.0229,0.0061,0.011,-0.01041,-0.03265,-0.0306,-0.02055,0.10454,-0.00684,0.04848,-0.04079
2019-02-01,0.00974,-0.01735,-0.01228,0.02677,-0.01949,-0.0184,-0.0023,-0.00755,-0.01627,-0.02885,-0.02234,0.01825,0.00797,-0.00433,-0.02774
2019-02-04,-0.00097,-0.00659,0.00946,-0.01578,0.0,0.0027,0.00095,0.0046,-0.00051,-0.00625,0.02314,-0.00226,0.00085,0.01883,-0.01251
2019-02-05,0.01168,0.01963,0.00094,0.01125,-0.01188,-0.00193,0.01036,0.00458,0.01578,0.03326,0.01635,0.01707,0.0017,0.01868,0.02144
2019-02-06,-0.00288,-0.0065,0.01401,-0.02126,0.0,0.00193,-0.00537,-0.00589,0.02365,0.02114,0.00548,-0.00357,0.00395,0.00318,0.04271
